,physical_recovery,movement_awakening,efficiency,sleep_score,sleep_duration,score,score_letter
0,59,17,88,53,371,5,5
1,9,20,88,38,93,3,3
2,42,23,88,55,315,5,5
3,69,18,90,85,514,8,8
4,63,38,82,82,443,8,8
5,55,34,88,47,406,4,4
6,65,18,90,81,481,8,8
7,58,19,91,84,443,8,8
8,34,6,89,45,84,4,4
9,75,47,76,82,522,8,8
10,75,38,83,84,498,8,8
11,40,41,77,40,58,4,4
12,46,21,91,46,361,4,4
13,63,13,91,61,353,6,6
14,55,35,85,50,418,5,5
15,42,24,89,68,386,6,6
16,53,31,88,82,429,8,8
17,61,22,87,82,420,8,8
18,50,10,95,70,306,7,7
19,30,31,87,50,179,5,5
20,34,15,92,53,197,5,5
21,59,16,92,85,410,8,8
22,43,17,89,72,365,7,7
23,58,25,88,82,451,8,8
24,67,21,88,77,361,7,7
25,68,22,90,83,487,8,8
26,53,23,88,74,408,7,7
27,70,31,87,78,497,7,7
28,53,21,90,81,415,8,8
29,63,28,87,78,500,7,7
30,11,27,87,47,99,4,4
31,44,30,83,62,368,6,6
32,47,26,85,66,326,6,6
33,68,48,74,82,415,8,8
34,67,53,84,77,521,7,7
35,55,21,89,72,369,7,7
36,57,29,83,77,438,7,7
37,79,2,98,97,441,9,9
38,64,21,89,82,401,8,8
39,61,11,92,86,407,8,8
40,62,30,88,76,473,7,7
41,73,37,83,82,499,8,8
42,79,20,89,85,508,8,8
43,77,37,82,82,438,8,8
44,60,19,89,79,369,7,7
45,57,28,89,70,346,7,7
46,63,18,89,82,426,8,8
47,48,9,94,64,210,6,6
48,64,19,91,85,504,8,8
49,93,2,98,83,619,8,8
50,80,21,88,85,466,8,8
51,55,42,85,72,357,7,7
52,60,13,93,85,398,8,8
53,64,22,88,74,351,7,7
54,58,30,86,67,352,6,6
55,85,21,89,86,493,8,8
56,65,10,93,79,365,7,7
57,49,44,86,66,394,6,6
58,67,17,91,77,333,7,7
59,58,16,93,72,346,7,7
60,73,20,89,85,478,8,8
61,55,30,84,73,380,7,7
62,82,15,90,85,520,8,8
63,77,26,87,82,461,8,8
64,65,16,91,77,361,7,7
65,72,4,95,87,379,8,8
66,70,13,94,86,379,8,8
67,53,38,83,81,434,8,8
68,80,19,90,89,508,8,8
69,62,24,87,81,446,8,8
70,71,25,89,82,470,8,8
71,65,20,89,71,350,7,7
72,34,8,93,60,149,6,6
73,75,11,93,91,500,9,9
74,18,7,94,58,99,5,5
75,60,20,90,82,415,8,8
76,66,24,89,75,376,7,7
77,21,35,82,46,144,4,4
78,82,18,91,92,484,9,9
79,81,20,87,88,437,8,8
80,52,46,80,77,449,7,7
81,69,26,89,84,471,8,8
82,48,21,90,74,382,7,7
83,60,28,89,78,516,7,7
84,66,25,88,71,335,7,7
85,90,8,94,91,486,9,9
86,79,26,84,87,421,8,8
87,87,26,86,85,505,8,8
88,72,10,93,88,415,8,8
89,60,25,91,70,325,7,7
90,66,11,90,89,449,8,8
91,58,9,93,83,366,8,8
92,62,13,92,78,365,7,7
93,64,15,92,78,383,7,7
94,57,26,90,73,366,7,7
95,68,25,87,77,552,7,7
96,52,21,89,78,410,7,7
97,81,10,92,88,411,8,8
98,57,19,91,84,404,8,8
99,61,9,95,77,301,7,7
100,88,32,88,88,495,8,8
101,53,20,91,66,350,6,6
102,83,30,86,81,557,8,8
103,62,20,90,81,426,8,8
104,71,15,89,80,367,8,8
105,55,14,89,79,442,7,7
106,62,34,85,75,408,7,7
107,52,24,89,79,393,7,7
108,66,11,93,89,413,8,8
109,71,19,88,84,453,8,8
110,60,17,90,86,433,8,8
111,64,21,90,84,430,8,8
112,41,21,91,66,342,6,6
113,67,10,94,75,342,7,7
114,80,24,87,85,502,8,8
115,67,14,92,79,364,7,7
116,57,41,84,70,360,7,7
117,80,15,92,89,420,8,8
118,75,31,85,83,501,8,8
119,61,20,91,73,331,7,7
120,57,10,94,71,327,7,7
121,67,12,93,87,445,8,8
122,50,16,92,70,350,7,7
123,64,6,95,91,436,9,9
124,80,14,91,88,409,8,8
125,55,8,95,80,344,8,8
126,64,13,91,84,381,8,8
127,74,12,92,70,301,7,7
128,71,18,92,85,453,8,8
129,58,14,92,85,417,8,8
130,66,15,93,68,302,6,6
131,39,23,85,40,95,4,4
132,50,38,81,68,349,6,6
133,66,11,93,84,405,8,8
134,72,15,91,88,466,8,8
135,75,12,91,90,448,9,9
136,63,30,85,80,412,8,8
137,62,15,90,84,426,8,8
138,76,37,88,82,528,8,8
139,55,23,88,75,386,7,7
140,43,31,85,57,308,5,5
141,75,34,87,80,482,8,8
142,65,18,91,82,437,8,8
143,53,20,90,74,381,7,7
